Ind. No.,C/R,Sex,Status,Error,Age-mat.,Age-total,Age-final,Habitat,Date,Month,Year,Time of day,Behaviour,BM,SH,SCL,MCW,MaxCW,MPL,MaxPL,AbSL,AnSL,ANW,BL_L,BL_R,Scars / Damages,Ticks,Notes ,,,,,,,,,,,,
388,C,F,Adult,NO,9,10,10,Meadow,10/06/2021,June,2021,08:25:54,Basking,418,64,115,89,91,,,,,,,,,5,,,,,,,,,,,,,
388,R,F,Adult,NO,,9,10,Meadow,07/09/2021,September,2021,08:25:38,Burrowed,462,66,119,94,95,,,,,,,,,0,,,,,,,,,,,,,
389,C,F,Adult,NO,12,17,17,Meadow,10/06/2021,June,2021,08:34:13,Basking,2701,113,239,165,181,,,,,,,,,0,,,,,,,,,,,,,
389,R,F,Adult,NO,13,18,17,Meadow,21/06/2021,June,2021,10:02:55,Resting in shade,2656,114,239,166,180,,,,,,,,,5,,,,,,,,,,,,,
390,C,F,Adult,NO,13,16,,Meadow,10/06/2021,June,2021,08:50:07,Basking,2436,109,215,167,173,,,,,,,,,0,,,,,,,,,,,,,
391,C,F,Adult,NO,14,19,,Meadow,10/06/2021,June,2021,09:14:32,Feeding,1942,106,205,152,162,,,,,,,,,2,9&10 L marginals demaged ,,,,,,,,,,,,
392,C,F,Adult,NO,,15-25,,Degraded forest,10/06/2021,June,2021,10:15:16,Basking,1782,106,213,154,160,,,,,,,,,0,,,,,,,,,,,,,
393,C,M,Adult,NO,,15-25,,Degraded forest,10/06/2021,June,2021,10:20:11,Basking,990,87,162,131,139,,,,,,,,Carapace,30,12 L marginals ,,,,,,,,,,,,
394,C,F,Adult,NO,12,13,,Degraded forest,10/06/2021,June,2021,10:27:37,Burrowed,540,70,130,99,103,,,,,,,,,2,interesting shapes on vertebral ,,,,,,,,,,,,
395,C,M,Immature,NO,,7,,Degraded forest,10/06/2021,June,2021,10:32:57,Burrowed,588,72,136,107,111,,,,,,,,,,,,,,,,,,,,,,
396,C,F,Adult,NO,,15-25,15-25,Degraded forest,10/06/2021,June,2021,10:38:23,Feeding,2047,112,215,160,169,,,,,,,,,10,vertebrals poking out,,,,,,,,,,,,
396,R,F,Adult,NO,,15-25,15-25,Degraded forest,24/09/2021,September,2021,14:48:10,Burrowed,2102,112,215,161,170,,,,,,,,,2,"vertebras pocking out,90th markings marginal brocken",,,,,,,,,,,,
397,C,M,Adult,NO,,15-25,,Degraded forest,10/06/2021,June,2021,10:44:45,Resting in shade,1022,87,163,132,136,,,,,,,,,0,,,,,,,,,,,,,
397,R,M,Adult,NO,10,17,,Degraded forest,22/06/2021,June,2021,09:42:25,Feeding,1005,86,164,132,135,,,,,,,,,30,,,,,,,,,,,,,
398,C,F,Immature,NO,,7,,Degraded forest,10/06/2021,June,2021,10:49:16,Basking,153,41,82,69,67,72,76,31,11,19,41,41,,0,,,,,,,,,,,,,
399,C,NA,Immature,NO,,4,,Meadow,10/06/2021,June,2021,10:55:53,Basking,46,32,60,49,48,50,51,18,7,11,29,30,,0,,,,,,,,,,,,,
400,C,NA,Immature,NO,,2,,Meadow,10/06/2021,June,2021,11:01:10,Basking,22.1,26,45,38,38,39,40,14.5,5,8,22,22,,0,Missing left hind leg,,,,,,,,,,,,
401,C,F,Adult,NO,11,12,,Degraded forest,10/06/2021,June,2021,12:03:21,Moving,1316,91,178,132,133,,,,,,,,,5,,,,,,,,,,,,,
402,C,F,Adult,NO,11,12,,Meadow+Degraded forest,10/06/2021,June,2021,12:08:14,Resting in shade,1217,90,172,134,134,,,,,,,,,19,yellow plastron ,,,,,,,,,,,,
403,C,F,Adult,NO,,15-25,,Meadow,21/06/2021,June,2021,08:12:43,Nesting,1886,102,202,154,160,,,,,,,,,1,"Yellow smooth shell, hole in 2 and 3 R Coastal",,,,,,,,,,,,
404,C,NA,Immature,NO,,4,,Meadow,21/06/2021,June,2021,08:32:28,Basking,58.6,33,62,53,52,55,57,21,7,11,32,31,,0,,,,,,,,,,,,,
405,C,F,Adult,NO,,15-25,,Meadow,21/06/2021,June,2021,08:34:18,Basking,2111,106,215,157,167,,,,,,,,"Supracaudal, Carapace",8,smooth yellow shell,,,,,,,,,,,,
406,C,M,Adult,NO,,15-25,,Meadow,21/06/2021,June,2021,08:36:49,Basking,1369,93,180,139,149,,,,,,,,,18,,,,,,,,,,,,,
407,C,F,Immature,NO,,6,,Meadow,21/06/2021,June,2021,08:40:33,Basking,246.3,54,96,83,81,85,89,31,13,19,47,47,,1,,,,,,,,,,,,,
408,C,F,Immature,NO,,6,,Meadow,21/06/2021,June,2021,08:40:51,Basking,268,55,99,81,83,87,93,32,11,22,48,47,,5,,,,,,,,,,,,,
409,C,NA,Immature,NO,,5,,Meadow,21/06/2021,June,2021,08:45:46,Basking,84.4,38,69,59,58,61,64,24,9,15,34,34,,10,,,,,,,,,,,,,
410,C,F,Immature,NO,,8,,Meadow,21/06/2021,June,2021,08:46:36,Basking,580,70,129,98,105,,,,,,,,,4,,,,,,,,,,,,,
411,C,F,Adult,NO,,15-25,,Meadow,21/06/2021,June,2021,08:51:23,Basking,1864,101,205,155,157,,,,,,,,Carapace,4,,,,,,,,,,,,,
412,C,F,Immature,NO,,8,,Meadow,21/06/2021,June,2021,08:51:34,Basking,415,62,117,91,93,,,,,,,,,6,,,,,,,,,,,,,
413,C,F,Adult,NO,11,13,,Meadow,21/06/2021,June,2021,09:12:42,Basking,990,84,157,126,135,,,,,,,,,10,,,,,,,,,,,,,
414,C,F,Immature,NO,,7,,Meadow,21/06/2021,June,2021,09:33:31,Basking in cloudy weather,290,55,103,85,85,89,95,34,12,23,49,48,,5,7R marginal narrow,,,,,,,,,,,,
415,C,M,Adult,NO,11,13,,Meadow,21/06/2021,June,2021,09:40:46,Feeding,981,84,164,133,139,,,,,,,,,10,,,,,,,,,,,,,
416,C,M,Adult,NO,13,17,,Meadow,21/06/2021,June,2021,09:45:03,Moving,957,81,163,124,133,,,,,,,,,4,,,,,,,,,,,,,
417,C,F,Adult,NO,,15-25,,Meadow,21/06/2021,June,2021,09:48:39,Resting in shade,1656,99,199,144,148,,,,,,,,,0,smooth shell,,,,,,,,,,,,
418,C,M,Adult,NO,12,13,,Meadow,21/06/2021,June,2021,09:51:53,Resting in shade,717,73,150,116,125,,,,,,,,,6,,,,,,,,,,,,,
419,C,F,Adult,NO,,15-25,,Meadow,21/06/2021,June,2021,09:55:40,Moving,1574,98,199,140,147,,,,,,,,,10,smooth shell,,,,,,,,,,,,
420,C,M,Adult,NO,9,10,,Road,21/06/2021,June,2021,10:59:41,Basking,702,76,146,115,118,,,,,,,,,7,,,,,,,,,,,,,
421,C,M,Adult,NO,10,11,,Road,21/06/2021,June,2021,11:17:27,Resting in shade,732,78,143,117,118,,,,,,,,,0,8th right marginal narrow,,,,,,,,,,,,
422,C,M,Immature,NO,,9,,Road,21/06/2021,June,2021,11:19:53,Resting in shade,645,72,140,111,119,,,,,,,,Plastron,,,,,,,,,,,,,,
423,C,M,Adult,NO,13,16,,Road,21/06/2021,June,2021,11:23:47,Basking,883,81,158,122,129,,,,,,,,,6,,,,,,,,,,,,,
424,C,M,Adult,NO,10,13,,Road,21/06/2021,June,2021,11:32:50,Moving,824,79,155,120,125,,,,,,,,"Carapace, Plastron",0,After release - courting (chasing) 425 female.,,,,,,,,,,,,
425,C,F,Adult,NO,,15-25,,Road,21/06/2021,June,2021,11:40:29,Moving,1818,101,209,149,156,,,,,,,,,0,"Hole in supracaudal, after release - chased (courting) by 424 male.",,,,,,,,,,,,
426,C,M,Adult,NO,13,18,,Road,21/06/2021,June,2021,12:14:31,Feeding,1321,89,180,140,152,,,,,,,,,30,,,,,,,,,,,,,
427,C,F,Adult,NO,12,14,,Degraded forest,21/06/2021,June,2021,12:13:24,Moving,1526,97,197,142,142,,,,,,,,,28,Hole in supracaudal,,,,,,,,,,,,
428,C,M,Immature,NO,,10,,Meadow,21/06/2021,June,2021,12:21:09,Moving,396,64,118,92,93,,,,,,,,,19,,,,,,,,,,,,,
429,C,F,Adult,NO,11,12,,Degraded forest,21/06/2021,June,2021,12:25:45,Moving,1275,96,175,135,134,,,,,,,,,20,,,,,,,,,,,,,
430,C,F,Adult,NO,,15-25,,Degraded forest,21/06/2021,June,2021,12:29:28,Resting in shade,1293,95,184,137,146,,,,,,,,,0,,,,,,,,,,,,,
431,C,F,Adult,NO,12,13,,Road,21/06/2021,June,2021,13:06:01,Feeding,1350,91,184,134,141,,,,,,,,,0,,,,,,,,,,,,,
432,C,F,Adult,NO,10,11,,Road,21/06/2021,June,2021,13:14:46,Drinking,1307,89,180,134,136,,,,,,,,,0,,,,,,,,,,,,,
433,C,M,Adult,NO,10,11,,Road,21/06/2021,June,2021,13:25:53,Resting in shade,584,73,129,105,110,,,,,,,,,0,,,,,,,,,,,,,
434,C,F,Adult,NO,9,10,,Degraded forest,21/06/2021,June,2021,18:53:53,Moving,891,79,154,121,125,,,,,,,,,12,Yellowish plastron. Beautiful specimen.,,,,,,,,,,,,
435,C,F,Adult,NO,8,9,,Degraded forest,22/06/2021,June,2021,08:53:11,Basking,1433,97,181,136,138,,,,,,,,,,,,,,,,,,,,,,
436,C,F,Adult,NO,,15-25,,Degraded forest,22/06/2021,June,2021,09:03:19,Basking,1912,106,200,148,155,,,,,,,,,0,yellow smooth shell. Nuchal shorter than 1sr marginal,,,,,,,,,,,,
437,C,F,Adult,NO,,11,,Degraded forest,22/06/2021,June,2021,09:10:07,Resting in shade,1245,92,176,126,132,,,,,,,,,0,,,,,,,,,,,,,
438,C,M,Adult,NO,9,14,,Degraded forest,22/06/2021,June,2021,09:17:43,Basking,981,82,162,129,136,,,,,,,,,20,,,,,,,,,,,,,
439,C,F,Adult,NO,,15-25,,Degraded forest,22/06/2021,June,2021,09:23:06,Basking,1892,105,203,153,159,,,,,,,,,4,"smooth yellow shell, 4 big ticks",,,,,,,,,,,,
440,C,F,Adult,NO,10,11,,Degraded forest,22/06/2021,June,2021,09:26:43,Basking,1354,94,181,136,140,,,,,,,,,40,,,,,,,,,,,,,
441,C,M,Adult,NO,11,19,,Degraded forest,22/06/2021,June,2021,09:31:56,Moving,1095,86,173,133,139,,,,,,,,,10,Nuchal shorter than 1st marginals,,,,,,,,,,,,
442,C,M,Adult,NO,10,14,14,Degraded forest,22/06/2021,June,2021,09:35:52,Basking,1144,89,173,139,150,,,,,,,,,,,,,,,,,,,,,,
442,R,M,Adult,NO,10,14,14,Degraded forest,24/09/2021,September,2021,14:42:04,Feeding,1049,89,173,139,150,,,,,,,,,14,,,,,,,,,,,,,
443,C,M,Adult,NO,12,14,,Degraded forest,22/06/2021,June,2021,11:29:58,Basking,1040,83,168,128,135,,,,,,,,,20,4th Coastal R divided,,,,,,,,,,,,
444,C,F,Immature,NO,,6,,Degraded forest+Pine forest,22/06/2021,June,2021,12:12:41,Moving,149,44,83,71,70,74,78,29,11,17,42,41,,1,,,,,,,,,,,,,
445,C,M,Adult,NO,-3,"13, 14",,Degraded forest,22/06/2021,June,2021,12:18:59,Moving,434,80,147,117,124,,,,,,,,,15,,,,,,,,,,,,,
446,C,M,Adult,NO,11,12,,Degraded forest,22/06/2021,June,2021,12:14:57,Moving,528,68,139,113,117,,,,,,,,,21,,,,,,,,,,,,,
447,C,F,Adult,NO,,16,,Degraded forest+Pine forest,22/06/2021,June,2021,12:35:44,Basking,1349,99,193,136,147,,,,,,,,,21,,,,,,,,,,,,,
448,C,M,Immature,NO,,8,,Meadow,23/06/2021,June,2021,08:01:13,Basking,690,75,144,111,119,,,,,,,,,0,,,,,,,,,,,,,
449,C,F,Adult,NO,12,16,,Meadow,23/06/2021,June,2021,08:04:02,Basking,1481,98,187,138,146,,,,,,,,,30,,,,,,,,,,,,,
450,C,M,Adult,NO,11,12,,Meadow,23/06/2021,June,2021,09:06:48,Moving,714,79,142,115,116,,,,,,,,,20,,,,,,,,,,,,,
451,C,M,Adult,NO,11,13,,Meadow,23/06/2021,June,2021,09:15:28,Moving,928,82,158,121,130,,,,,,,,,25,,,,,,,,,,,,,
452,C,F,Immature,NO,,6,,Meadow,23/06/2021,June,2021,10:01:23,Moving,159,47,85,69,70,76,80,28,11,18,43,42,,4,,,,,,,,,,,,,
453,C,M,Adult,NO,,11,,Meadow,23/06/2021,June,2021,10:12:13,Resting in shade,625,72,143,107,115,,,,,,,,,0,first and second vertebral asymmetric ,,,,,,,,,,,,
454,C,M,Immature,NO,,"8, 9",,Degraded forest,23/06/2021,June,2021,10:37:26,Basking,230,54,87,79,78,86,92,30,10,24,45,46,,13,"very big 1 vertebral, narrow 2 vertebral",,,,,,,,,,,,
455,C,M,Adult,NO,9,10,,Degraded forest,23/06/2021,June,2021,11:25:20,Resting in shade,,73,141,107,111,,,,,,,,,40,,,,,,,,,,,,,
456,C,F,Immature,NO,,10,,Degraded forest,23/06/2021,June,2021,11:30:46,Burrowed,489,69,121,98,100,,,,,,,,"Carapace, Plastron",0,yellow plastron and yellowish shell,,,,,,,,,,,,
457,C,M,Adult,NO,11,15,,Degraded forest,23/06/2021,June,2021,11:38:41,Burrowed,918,88,158,119,130,,,,,,,,,24,second vertebral M form,,,,,,,,,,,,
458,C,M,Adult,NO,,11,,Degraded forest,23/06/2021,June,2021,11:44:31,Feeding,745,76,153,115,126,,,,,,,,,2,third vertebral kind of asymmetrical ,,,,,,,,,,,,
459,C,F,Immature,NO,,8,,Meadow,24/06/2021,June,2021,07:53:28,Feeding,,51,64,79,78,,,,,,,,,15,,,,,,,,,,,,,
460,C,M,Adult,NO,12,20,,Meadow,24/06/2021,June,2021,08:00:03,Resting in shade,1057,85,168,134,140,,,,,,,,,15,,,,,,,,,,,,,
461,C,F,Adult,NO,,15-25,,Meadow,24/06/2021,June,2021,08:05:30,Moving,1773,99,199,151,157,,,,,,,,"Marginals, Plastron",0,smooth shell.,,,,,,,,,,,,
462,C,M,Immature,NO,,"10, 11",,Meadow,24/06/2021,June,2021,08:09:24,Feeding,466,65,124,95,101,,,,,,,,,2,,,,,,,,,,,,,
463,C,F,Adult,NO,,15-25,,Degraded forest,24/06/2021,June,2021,09:04:00,Moving,1856,100,198,155,157,,,,,,,,,40,Yellowish smooth shell,,,,,,,,,,,,
464,C,M,Adult,NO,,15-25,,Meadow,24/06/2021,June,2021,08:16:22,Resting in shade,970,83,178,131,142,,,,,,,,"Marginals, Plastron, Front leg(s) ",2,R front leg 3rd nail missing.,,,,,,,,,,,,
465,C,M,Adult,NO,10,12,,Meadow,24/06/2021,June,2021,09:06:47,Moving,761,72,151,118,123,,,,,,,,Carapace,10,,,,,,,,,,,,,
466,C,F,Adult,YES,,15-25,15-25,Degraded forest,24/06/2021,June,2021,09:39:50,Moving,815,78,151,116,125,,,,,,,,Carapace,46,Small supracaudal; hermaphrodite?,,,,,,,,,,,,
466,R,M,Adult,YES,,15-25,15-25,Degraded forest,20/08/2021,August,2021,10:41:43,Moving,759,78,151,117,126,,,,,,,,Carapace,5,hermaphrodite?,,,,,,,,,,,,
466,R,M,Adult,YES,,15-25,15-25,Degraded forest,30/08/2021,August,2021,09:29:51,Moving,742,,151,119,126,,,,,,,,Carapace,36,Asymmetrical supraclaudal; hermaphrodite?,,,,,,,,,,,,
467,C,NA,Immature,YES,,4,,Road,24/06/2021,June,2021,10:05:38,Resting in shade,49.3,32,56,52,51,51,52,19,6,12,30,29,,15,doubled no.,,,,,,,,,,,,
467,C,M,Adult,YES,12,14,,Meadow,30/08/2021,August,2021,10:36:40,Moving,812,78,161,122,128,,,,,,,,"Marginals, Costals, Vertebrals, Supracaudal, Carapace",0,doubled no.,,,,,,,,,,,,
468A,C,F,Adult,YES,12,19,,Degraded forest,24/06/2021,June,2021,10:29:14,Feeding,1651,99,194,145,151,,,,,,,,,25,4th vertebral asymmetrical; doubled no.,,,,,,,,,,,,
468B,C,M,Adult,YES,,15-25,,Degraded forest,30/08/2021,August,2021,10:55:06,Basking,885,82,162,132,135,,,,,,,,,0,Vertebral asymmetric; doubled no.,,,,,,,,,,,,
469,C,M,Adult,NO,13,15,,Meadow,30/08/2021,August,2021,11:00:50,Resting in shade,1190,90,178,140,147,,,,,,,,,11,,,,,,,,,,,,,
470,C,NA,Immature,NO,,4,4,Meadow,07/09/2021,September,2021,08:15:28,Burrowed,81,35,65,59,58,58,60,20,8,15,34,34,,0,,,,,,,,,,,,,
470,R,NA,Immature,NO,,4,4,Meadow,24/09/2021,September,2021,14:21:44,Resting in shade,78,35,65,59,58,58,60,20,8,15,34,34,,0,,,,,,,,,,,,,
471,C,NA,Immature,NO,,"3, 4",,Meadow,07/09/2021,September,2021,10:01:34,Basking,57,34,60,53,50,54,55,23,5,12,32,32,,0,,,,,,,,,,,,,
472,C,NA,Immature,NO,,1,,Meadow,07/09/2021,September,2021,10:10:22,Moving,11,20,35,31,29,31,32,12,4,7,16,17,,0,Newborn (born this season).,,,,,,,,,,,,
473,C,F,Immature,NO,,5,,Meadow,07/09/2021,September,2021,10:59:41,Basking,150,47,85,67,66,74,78,27,11,17,42,41,,0,,,,,,,,,,,,,
474,C,M,Adult,NO,,11,,Meadow,07/09/2021,September,2021,11:03:38,Resting in shade,655,78,143,113,120,,,,,,,,,0,,,,,,,,,,,,,
475,C,M,Immature,NO,,9,,Meadow,07/09/2021,September,2021,11:07:42,Resting in shade,623,74,140,108,115,,,,,,,,,0,,,,,,,,,,,,,
476,C,F,Adult,NO,,>25,,Meadow,07/09/2021,September,2021,11:10:30,Moving,1897,110,214,155,158,,,,,,,,,1,eroded carapace,,,,,,,,,,,,
477,C,F,Immature,NO,,6,,Degraded forest,14/09/2021,September,2021,11:50:49,Dead,90,45,84,66,66,,,,,,,,,0,Found freshly dead (unmarked),,,,,,,,,,,,
478,C,F,Adult,NO,,16,,Degraded forest,14/09/2021,September,2021,12:28:22,Moving,944,81,168,123,133,,,,,,,,,2,,,,,,,,,,,,,
479,C,M,Adult,NO,10,12,,Degraded forest,14/09/2021,September,2021,12:32:41,Resting in shade,703,77,151,120,125,,,,,,,,,5,4th vertebral divided ,,,,,,,,,,,,
480,C,NA,Immature,NO,,4,,Degraded forest,24/09/2021,September,2021,16:26:35,Resting in shade,56,34,62,51,49,54,56,21,8,11,31,31,,0,,,,,,,,,,,,,
481,C,NA,Immature,NO,,4,,Degraded forest,26/09/2021,September,2021,10:51:41,Moving,50,30,58,50,49,53,55,20,6,12,31,31,,0,,,,,,,,,,,,,
482,C,M,Adult,NO,0,15-25,,Pine forest,26/09/2021,September,2021,11:40:43,Resting in shade,989,84,161,126,138,,,,,,,,Carapace,0,,,,,,,,,,,,,
483,C,M,Adult,NO,3,13,,Degraded forest+Pine forest,26/09/2021,September,2021,12:45:37,Basking,980,85,174,130,140,,,,,,,,,0,"wierd shape 4th R costal, square shape",,,,,,,,,,,,
484,C,F,Adult,NO,11,12,,Road,26/09/2021,September,2021,13:06:49,Basking,1384,96,183,142,148,,,,,,,,,0,"beautiful specimen, 3th and 4th vertebral asymetricall",,,,,,,,,,,,
485,C,M,Adult,NO,0,15-25,,Road,27/09/2021,September,2021,11:19:37,Basking,1101,91,178,140,146,,,,,,,,,9,Yellowish shell,,,,,,,,,,,,
486,C,M,Immature,NO,,11,,Road+Degraded forest,27/09/2021,September,2021,12:07:42,Moving,513,72,129,104,111,,,,,,,,,0,hole between tail and supraclaudal,,,,,,,,,,,,
487,C,M,Adult,NO,,11,,Degraded forest+Pine forest,27/09/2021,September,2021,12:54:59,Moving,712,73,146,116,123,,,,,,,,,2,,,,,,,,,,,,,
488,C,F,Adult,NO,12,14,,Degraded forest+Pine forest,27/09/2021,September,2021,13:00:02,Resting in shade,1164,87,173,134,139,,,,,,,,,0,Scars on coastal scutes,,,,,,,,,,,,
489,C,M,Immature,NO,,11,,Degraded forest+Pine forest,27/09/2021,September,2021,13:35:05,Basking,481,66,126,102,105,,,,,,,,,2,last two vertebrals looks like hourglass ,,,,,,,,,,,,
490,C,NA,Immature,NO,,4,,Meadow,05/10/2021,October,2021,11:28:52,Basking,62,35,61,52,52,55,56,21,6,12,31,31,,0,Divided nuchal,,,,,,,,,,,,
925,C,F,Immature,NO,,8,,Meadow,26/05/2021,May,2021,09:10:44,Moving,495,70,123,101,103,,,,,,,,,19,,,,,,,,,,,,,
980,C,M,Adult,NO,,12,,Meadow,09/06/2021,June,2021,09:14:20,Basking,578,72,133,103,106,,,,,,,,,10,,,,,,,,,,,,,
144A,C,F,Adult,NO,12,15-25,,Degraded forest,30/04/2021,April,2021,13:16:58,Courting,1680,104,200,155,160,,,,,,,,,2,2R marginal damaged,,,,,,,,,,,,
144B,C,F,Immature,NO,,8,,Meadow,26/05/2021,May,2021,12:32:42,Moving,572,73,135,103,102,,,,,,,,,5,back of carapace destroyed ,,,,,,,,,,,,
23A,C,F,Immature,NO,7,,,NA,24/05/2019,May,2019,10:00-10:30,NA,216,52,96,76,75,,,,,,,,,,,,,,,,,,,,,,
23B,C,F,Adult,NO,10,14.-15.,,Pine forest,08/08/2019,August,2019,08:16,NA,787,79,153,123,125,,,,,,,,,2,,,,,,,,,,,,,
283A,C,M,Adult,NO,,15-25,,Degraded forest,17/05/2021,May,2021,14:28:30,Moving,940,83,166,129,137,,,,,,,,,0,,,,,,,,,,,,,
283B,C,M,Adult,NO,,15-25,,Degraded forest,24/06/2021,June,2021,10:50:27,Feeding,1256,90,177,142,152,,,,,,,,Marginals,40,10th R marginal damaged,,,,,,,,,,,,
61A,C,M,Adult,NO,,,,NA,24/05/2019,May,2019,13:30-14:00,,1295,90,186,138,151,,,,,,,,damaged plastron,,,,,,,,,,,,,,
61B,C,M,Adult,NO,,14,,Degraded forest,01/05/2021,May,2021,12:36:38,Moving,988,80,155,133,131,,,,,,,,,0,"3 cuts for every markation, back of carapace missing. 8L&R to 11 and supracaudal missing.",,,,,,,,,,,,
Dead Newborn,C,NA,Immature,NO,,1,1,Degraded forest,01/05/2021,May,2021,15:45:47,Resting in shade,8.9,19,37,33,33,34,35,11,4,7,17,19,,0,Dead,,,,,,,,,,,,
